Key,Type,Desc,中文 [zh],English,Japanese
Card_Info/10010,Text,,生成<#SwordCount#>把【飞剑】,Spawn <#SwordCount#> [Flying Swords],<#SwordCount#>本の「飛剣」を召喚する。
Card_Info/10011,Text,,由纯粹灵气凝结成护盾，为目标及左右单位添加<Demage>并解除1种异常状态。,Form a shield of pure essence. Add <Demage> and remove 1 debuff for the target and adjacent units.,純粋な霊気でシールドを練り、ターゲットとその隣接ユニットに<Demage>を付与し、1種のデバフを解除する。
Card_Info/10014,Text,,点燃一名己方单位的魂血，使其受到<$Cost$>%最大生命值的真实伤害，行动次数+<Demage>,"Ignite the soulblood of an allied unit, inflicting True Damage equal to <$Cost$>% of its Max HP and +<Demage> AP",味方ユニット1名の魂血を燃やし、そのユニットに体力上限の<$Cost$>%分の真実ダメージを与え、行動回数+<Demage>。
Card_Info/10018,Text,,重置目标单位行动次数。执行一次【全局抽牌】,Reset the target's AP. Perform a [Random Draw],ターゲットの行動回数をリセットする。「全体ドロー」を1回実行する。
Card_Info/1002,Text,,所有手牌消耗【灵力】变为0,All hand cards cost 0 [Mana],すべての手札の「霊力」コストが0になる。
Card_Info/10020,Text,,发出贯彻神魂的嚎叫，所有己方单位获得<Demage>【杀意】和【狂性】,"Unleash a howl that pierces the soul, granting all allied units <Demage> [Killing Malice] and [Mania]",魂に響く咆哮を発し、すべての味方に<Demage>の「殺意」と「狂暴」を付与する。
Card_Info/10021,Text,,造成<Demage>并【标记】目标,Deal <Demage> and [Mark] the target,<Demage>を与え、ターゲットを「マーク」する。
Card_Info/10022,Text,,唤醒巨盾中残存的神力，使目标获得<#BuffCount_1#>【嘲讽】和<Demage>【雷反】,"Awaken the divine power that remains within the shield, granting the target <#BuffCount_1#> [Taunt] and <Demage> [Lightning Counter]",巨大な盾に残されし神力を呼び起こし、ターゲットに<#BuffCount_1#>の「挑発」と<Demage>の「雷返し」を付与する。
Card_Info/10023,Text,,算准时机，举盾，弹开攻击。使指定目标获得<Demage>【抵抗】和该层数2倍的【雷反】,"Time the move, raise the shield, and deflect the attack. Grant the target <Demage> stacks of [Resistance] and 2x that amount of [Lightning Counter]",タイミングを図って盾を構え、攻撃を弾く。ターゲットに<Demage>の「抵抗」とその2倍のスタック数の「雷返し」を付与する。
Card_Info/10024,Text,,目标及左右单位获得<Demage>【灵压】,Grant the target and its adjacent units <Demage> [Spiritual Pressure],ターゲットとその隣接ユニットに<Demage>の「霊圧」を付与する。
Card_Info/10025,Text,,以怨灵之牙啃咬，对指定目标造成<Demage>，目标每带有一层负面buff，伤害提高<$DemageUp$>%,"Bite the target with the wraith's fang, dealing <Demage>. For each stack of debuffs the target has, increase the damage by <$DemageUp$>%",怨霊の牙で噛み付き、ターゲットに<Demage>を与える。ターゲットにデバフが1スタック付与されているごとに、ダメージが<$DemageUp$>%増加する。
Card_Info/10026,Text,,自身及左右单位【防御】+<#BuffCount#>，并对所有敌人造成<Demage>,‘+ <#BuffCount#> [Defense] to self and adjacent units. Deal <Demage> to all enemies,自身および隣接ユニットが<#BuffCount#>の「防御」を得て、すべての敵に<Demage>を与える。
Card_Info/10027,Text,,发射鬼火，对目标及左右单位造成<Demage>。若主目标被【标记】，伤害提高<$DemageAddPresent$>%,"Shoot Ghost Fire, dealing <Demage> to the target and its adjacent units. If the primary target is [Marked], increase the damage by <$DemageAddPresent$>%",鬼火を発射してターゲットとその隣接ユニットに<Demage>を与える。メインターゲットが「マーク」されている場合、ダメージが<$DemageAddPresent$>%増加する。
Card_Info/10028,Text,,催动长在手上的尸天眼，【标记】指定单位，并【汲取】<Demage>点攻击力。,"Activate the Corpse Eye on the hand, [Mark] the designated unit, and [Drain] <Demage> Attack.",手のひらにある屍天眼を駆使してターゲットを「マーク」し、<Demage>点の攻撃力を「吸収」する。
Card_Info/10029,Text,,以尸气凝结触手对随机敌人<#TCount#>次造成<Demage>。,"Condense corpse energy into tentacles to strike random enemies <#TCount#> times, dealing <Demage>.",屍の息を練りランダムな敵に<Demage>を<#TCount#>回与える。
Card_Info/1003,Text,,指定单位，受到2次自身【攻击力*1】点真实伤害，并解除所有异常状态（不致死）,"Designate a unit to take True Damage equal to its own [Attack *1] twice, and remove all debuffs (non-lethal)",ターゲットが自身の「攻撃力*1」の真実ダメージを2回受け、すべてのデバフを解除する（非致死）。
Card_Info/10030,Text,,吞噬尸气，为目标及左右单位回复<Demage>生命值，同时为目标单位执行一次【自身抽牌】,Devour corpse energy to restore <Demage> HP for the target and adjacent units. The target then performs a [Self Draw],屍の息を呑み込み、ターゲットとその隣接ユニットの<Demage>を回復し、ターゲットが「単体ドロー」を1回実行する。
Card_Info/10031,Text,,发射一枚毒素胞，对指定敌人施加<Demage>【疫毒】，若目标被【标记】，对所有敌人额外施加等量【疫毒】,"Shoot a toxin cell to inflict <Demage> [Plague Toxin] on the target. If the target is [Marked], inflict the same amount of [Plague Toxin] on all enemies",毒の胞子を発射して、ターゲットに<Demage>の「疫毒」を付与する。ターゲットが「マーク」されている場合、追加ですべての敵に同量の「疫毒」を付与する。
Card_Info/10032,Text,,发射一枚酒火弹，对随机敌人造成<Demage>。,"Shoot a Liquor Fire Bolt, dealing <Demage> to a random enemy.",酒火弾を1発発射してランダムな敵に<Demage>を与える。
Card_Info/10033,Text,,"吞云，豪饮，乘兴狂歌，损失<$CostHp$>%当前生命值，获得<Demage>【狂性】，并执行一次【自身抽牌】,重置行动次数","Drink and sing in a frenzy, losing <$CostHp$>% of Current HP to gain <Demage> [Mania] and perform a [Self Draw]. Also, reset this unit's AP",酒飲みの意に乗って歌い上げる。現在体力の<$CostHp$>%分を失い、<Demage>の「狂暴」を付与し、「単体ドロー」を1回実行する。行動回数をリセットする。
Card_Info/10034,Text,,发散浊气，对所有敌人造成<Demage>，消耗所有剩余【灵力】，每1点【灵力】，伤害提高<$DemageUp$>%,Unleash turbid energy to deal <Demage> to all enemies. Consume all remaining [Mana] to gain +<$DemageUp$>% damage per point of [Mana],濁気を発し、すべての敵に<Demage>を与える。残っているすべての「霊力」を消費し、霊力1点につきダメージが<$DemageUp$>%増加する。
Card_Info/10035,Text,,凝聚清气，对指定敌人造成<Demage>，回复<#MagicGet#>点【灵力】（视为普攻）,Channel pure energy to deal <Demage> to the designated enemy. Also restore <#MagicGet#> [Mana] (Counted as a Basic Attack),清気を集め、ターゲットに<Demage>を与え、<#MagicGet#>点の「霊力」を回復する（通常攻撃としてみなす）。
Card_Info/10036,Text,,"老练的重拳，造成2次<Demage>,并【眩晕】（视为普攻）",A heavy punch that deals <Demage> twice and inflicts [Stun] (Counted as a Basic Attack),練達した重い拳で、<Demage>を2回与え（通常攻撃としてみなす）、「スタン」を付与する。
Card_Info/1004,Text,,使自身进入【武魂真躯】状态，该状态下免疫所有负面buff，自身造成任意伤害后追加75%真实伤害,"Activate the [Martial Avatar] status, which grants immunity to all debuffs. After dealing any damage, inflict an extra 75% True Damage",自身が「武魂真体」状態になり、この状態ではすべてのデバフが無効化され、自身がダメージを与えるとき、そのダメージの75％分の真実ダメージを追加する。
Card_Info/10040,Text,,引动邪心，重置行动次数，将一张带【遗忘】的《腥风斩》和未升级的《邪心》加入手牌,"Stir up evil thoughts, reset AP, and draw a <Foul Slash> with [Forgotten] and a basic <Wicked Heart> to your hand",邪心を駆使して、行動回数をリセットする。「忘却」が付いている『腥風斬』とグレードアップしていない『邪心』を1枚ずつ手札に加える。
Card_Info/10041,Text,,对一名敌人造成<#HitCount#>次<Demage>,Deal <Demage> to an enemy <#HitCount#> times,敵1名に<Demage>を<#HitCount#>回与える。
Card_Info/10042,Text,,献祭指定随从<$CostHp$>%最大生命值(不致死)，所有己方单位获得<Demage>攻击力和【灵压】,Sacrifice <$CostHp$>% Max HP of a designated minion (non-lethal) to grant all allied units <Demage> Attack and [Spiritual Pressure],指定されたミニオンの体力上限の<$CostHp$>%分の体力をいけにえにして（非致死）、すべての味方ユニットが<Demage>点の攻撃力と「霊圧」を得る。
Card_Info/10043,Text,,在时光长河中将目标删除，使指定单位同时获得<#BuffCount_1#>【流逝】，同时【标记】<#BuffCount_2#>回合,,
Card_Info/10044,Text,,呼唤雷霆镇压己身，回复#GetMagic#>点灵力,,
Card_Info/10045,Text,,在时光的长河中稍稍推它一把，指定单位添加<#TimeCount#>【岁月】,Give it a gentle push in the river of time to inflict <#TimeCount#> [Aging] on the designated unit,指定したユニットに<#TimeCount#>「歳月」を付与する。
Card_Info/10046,Text,,自神明时代流传下来的歌谣，为尸姬大人回满【灵力】，所有己方单位获得<Demage>【防御】,A song from the age of deities that fully restores [Mana] for the Lady Zombie and grants <Demage> [Defense] to all allied units,屍姫の「霊力」を全回復し、すべての味方ユニットが<Demage>の「防御」を得る。
Card_Info/10047,Text,,【标记】目标及左右单位，并为所有敌人添加<Demage>【血祭】,[Mark] a target and its adjacent units and inflict <Demage> [Blood Sacrifice] on all enemies,ターゲットとその隣接ユニットを「マーク」し、すべての敵に<Demage>の「血祭」を付与する。
Card_Info/10048,Text,,扇起剧毒之风，为所有敌人添加<Demage>【疫毒】，并将一张未升级的《毒风》加入手牌,Unleash a toxic wind to inflict <Demage> [Plague Toxin] on all enemies. Also add to hand a basic <Toxic Wind>,毒の風を引き起こし、すべての敵に<Demage>の「疫毒」を付与する。アップグレードしていない『毒風』を手札に加える。
Card_Info/10049,Text,,收拢厄祸的翅膀，【汲取】随机<#EnemyCount#>名敌人<Demage>点最大生命值（敌人可重复）,Retract the wings of calamity to [Drain] <Demage> points of Max HP from <#EnemyCount#> random enemies (Enemies may repeat),禍いの翼を畳み、ランダムな敵<#EnemyCount#>名から<Demage>点の体力上限を「吸収」する（同じ敵に繰り返して発動可能）。
Card_Info/10051,Text,,与所有己方单位签订<Demage>【灵契】。并获得<#BuffCount#>【抵抗】,Sign <Demage> [Spiritual Pacts] with all allied units and gain <#BuffCount#> [Resistance],すべての味方ユニットと<Demage>の「霊契」を結ぶ。<#BuffCount#>の「抵抗」を得る。
Card_Info/10055,Text,,"目标单位执行<#Count#>次【自身抽牌】
对生命值大于<$HpPresentNeed$>%的目标使用时，将一张费用+1的绘涩加入手牌
（无法对自身使用）","The target performs [Self Draw] <#Count#> times
When used on a target with ><$HpPresentNeed$>% HP, add a Cost+1 <Eros> to hand
(Cannot be used on self)","ターゲットは「単体ドロー」を<#Count#>回実行する。
現在体力が体力上限の<$HpPresentNeed$>%を超えるターゲットに使用する場合、コスト+1の『絵渋』を1枚手札に加える。
（自身に使用不可）"
Card_Info/10056,Text,,"以自身心欲化作泉水激昂而出，对目标单位造成<Demage>。并【标记】
所有己方单位，每有一层正面buff，该伤害提高<$DemageUp$>%(独立乘区)","Channel desires into a surging spring, dealing <Demage> to the target. [Mark] the target
For every stack of buffs on allies, +<$DemageUp$>% damage (independent multiplier)","自身の欲望を泉の水に変えて湧き出させる。ターゲットに<Demage>を与え、「マーク」する。
すべての味方ユニットにバフが1スタック付与されているごとに、このダメージが<$DemageUp$>%増加する（独立乗算）。"
Card_Info/10057,Text,,以自身花粉引燃的妖火，对目标及左右单位造成<Demage>，并【眩晕】,"Ignite demonic flames with pollen, dealing <Demage> to the target and its adjacent units and inflicting [Stun]",自分の花粉を燃やした炎で、ターゲットとその隣接ユニットに<Demage>を与え、「スタン」を付与する。
Card_Info/10058,Text,,折断自己的一节妖枝，所有己方单位获得<Demage>，自身相邻的2名随从获得护盾翻倍，并解除一种异常状态,Snap off a branch to grant <Demage> to all allied units. The 2 adjacent minions gain 2x Shield and remove 1 debuff,自分の枝を折り、すべての味方ユニットが<Demage>を得る。自身に隣接する2名のミニオンはシールドが2倍になり、1種のデバフを解除する。
Card_Info/10059,Text,,"生成<#SwordCost#>把【飞剑】
【飞剑：3】执行一次【全局抽牌】
【飞剑：4】执行一次【自身抽牌】","Spawn <#SwordCost#> [Flying Swords].
 [Flying Swords: 3] Perform a [Random Draw]
 [Flying Swords: 4] Perform a [Self Draw]","<#SwordCost#>本の「飛剣」を召喚する。
「飛剣：3」 「全体ドロー」を1回実行する。
「飛剣：4」 「単体ドロー」を1回実行する。"
Card_Info/10060,Text,,"以心御剑，对随机敌人造成<Demage>（优先【标记】）
【飞剑：3】消耗3把飞剑额外追加3次伤害","Command swords with psychic power, dealing <Demage> to a random enemy (prioritizing [Marked] targets)
[Flying Swords: 3] Consume 3 swords to deal 3 extra hits","心で剣を操り、ランダムな敵に<Demage>を与える（「マーク」された敵を優先）。
「飛剣：3」飛剣を3本消費して追加でダメージを3回与える。"
Card_Info/10061,Text,,凝水成鳞，为自身及左右单位添加<Demage>护盾。手中每有一张【待机卡牌】，获得护盾提高<$ShieldPresent$>,,
Card_Info/10062,Text,,疾驰回旋，对指定敌人造成<Demage>，同时自身获得<#BuffCount#>【嘲讽】,,
Card_Info/10064,Text,,用根须【汲取】所有敌人<Demage>点最大生命值，并获得一张《僵尸之血》,Use roots to [Drain] <Demage> points of Max HP from all enemies and add 1 <Zombie Blood> to hand,根ですべての敵から<Demage>点の体力上限を「吸収」し、『僵屍の血』を1枚得る。
Card_Info/10065,Text,,"凝结成木之巨龙吞向目标，对目标造成<Demage>
若敌方单位【龙威】均小于自身时，使用后获得<#BuffCount_1#>【龙威】，整场战斗仅触发一次。",,
Card_Info/10066,Text,,将雷霆之力萦绕指尖，对目标造成<Demage>，并获得<#BuffCount#>【雷反】（视为普攻）,Channel the power of lightning through the fingertip to deal <Demage> to the target and grant <#BuffCount#> [Lightning Counter] (Counted as a Basic Attack),雷霆の力を指に纏い、ターゲットに<Demage>を与え（通常攻撃としてみなす）、<#BuffCount#>の「雷返し」を得る。
Card_Info/10067,Text,,以潮水般的绝望淹没神魂，自身损失<$CostHp$>%当前生命值（不致死），使目标获得<Demage>【法穿】并【眩晕】,Drown the soul in waves of despair. Lose <$CostHp$>% Current HP (non-lethal) to inflict on target <Demage> [Magic Penetration] and [Stun],潮のような絶望で神魂を水没させ、自身が現在体力の<$CostHp$>%分を失い（非致死）、ターゲットに<Demage>の「法術貫通」と「スタン」を付与する。
Card_Info/10069,Text,,以己方单位为养料，从其身上【汲取】<Demage>点攻击力，并为其添加<#BuffCount#>【虚弱】(无法对自身使用),Treat an allied unit as nourishment to [Drain] <Demage> Attack and inflict <#BuffCount#> [Asthenia] (Cannot be used on self),味方ユニットを養分にして、<Demage>点の攻撃力を「吸収」し、<#BuffCount#>の「衰弱」を付与する（自身に使用できない）。
Card_Info/1007,Text,,所有伤害手牌伤害提高100%并变为真实伤害,All hand cards deal 100% more damage and deal True Damage,すべての手札のダメージが100％増加し、ダメージタイプを「真実ダメージ」に変化する。
Card_Info/10070,Text,,"展开毒瘴之域，对相邻的1/2名敌人造成<Demage>，并施加<#BuffCount#>【猛毒】
本次战斗每死亡一名单位额外叠加<#BuffCount_1#>【猛毒】",,
Card_Info/10071,Text,,"幼龙的爪击，对目标及左右敌人造成<Demage>，并获得<#BuffCount#>【龙威】，（视为普攻）
自身每层【龙威】伤害提高<$DemageUp$>%","A claw strike by a baby dragon. Deal <Demage> to the target and adjacent units, gain <#BuffCount#> [Dragon's Presence] (as basic attacks)
Each [Dragon's Presence] +<$DemageUp$>% damage","幼い龍が爪で攻撃し、ターゲットとその隣接の敵に<Demage>を与える（通常攻撃としてみなす）。<#BuffCount#>の「龍威」を得る。
自身の「龍威」1スタックごとにこのカードのダメージが<$DemageUp$>%増加する。"
Card_Info/10073,Text,,对目标及左右单位造成<Demage>点伤害，并施加<#BuffCount#>【法穿】,Deal <Demage> damage to the target and its adjacent units and inflict <#BuffCount#> [Magic Penetration],ターゲットとその隣接ユニットに<Demage>を与え、<#BuffCount#>の「法術貫通」を付与する。
Card_Info/10074,Text,,对目标重复使用上一张用过的卡牌<#Count#>次，视作由自身使用,Reuse a previously used card on the same target <#Count#> times. This is considered as if used by this unit,ターゲットに前回使用したカードを<#Count#>回繰り返して使用する。自身が使用したものとみなす。
Card_Info/10075,Text,,甩动机关臂，对指定单位造成<Demage>伤害，并施加<#BuffCount#>【攥紧】,Swing the contraption arm to deal <Demage> damage to the designated unit and inflict <#BuffCount#> [Clench],ターゲットに<Demage>を与え、<#BuffCount#>の「掴み」を付与する。
Card_Info/10076,Text,,呼唤天地间的清气，使指定单位获得<Demage>,Gather pure energy from the nature to grant the designated unit <Demage>,天地の間にある清気を呼び、ターゲットに<Demage>を付与する。
Card_Info/10077,Text,,以毁灭一切的气势发动撞击对目标造成<Demage>。使用后自身护盾清空。,"Charge forward with devastating force, dealing <Demage> to the target. Reduce all Shield after use.",すべてを取り壊す勢いで体当たりし、ターゲットに<Demage>を与える。使用後、自身のシールドを全部失う。
Card_Info/10078,Text,,目标及左右随从解除所有负面状态并获得<#BuffCount#>【抵抗】,"Remove all debuffs for the target and adjacent minions, and grant <#BuffCount#> [Resistance]",ターゲットとその隣接ミニオンはすべてのデバフを解除し、<#BuffCount#>の「抵抗」を得る。
Card_Info/10079,Text,,自身获得<Demage>，全场除自身外所有单位移除<$CostHp$>%最大生命值，生命值不足<$CostHp$>%的，致死,Grant <Demage> on self. Remove <$CostHp$>% Max HP from all units on the field except self. Units below <$CostHp$>% HP are instantly killed,自身が<Demage>を得る。自身以外のすべてのユニットは体力上限の<$CostHp$>%分の体力を失う。現在体力が体力上限の<$CostHp$>%未満のユニットは撃破される。
Card_Info/1008,Text,,将所有卡牌的所属方变为指定单位,,
Card_Info/10080,Text,,过去的错误永远不会被遗忘，移除指定随从的所有负面buff，并获得等量层数的【灵压】,No wrongs of the past will ever be forgotten. Remove all debuffs for a designated minion and grant an equal number of [Spiritual Pressure],過去の過ちは決して忘れられない。ターゲットのすべてのデバフを解除し、解除したデバフの合計スタック数と同数の「霊圧」を得る。
Card_Info/10081,Text,,展开鬼神之躯，强制3名最近的敌人攻击自身（不致死），自身及左右单位获得<Demage>，自身获得【嘲讽】,"Unleash the Wraithgod Form, forcing the 3 nearest enemies to attack this unit (non-lethal). Self and adjacent units gain <Demage>, and self gains [Taunt]",鬼神の躯体を展開し、最も近い敵3名に強制的に自分を攻撃させ（非致死）、自身および隣接ユニットが<Demage>を得る。自身が「挑発」を得る。
Card_Info/10082,Text,,对目标单位造成<Demage>并【眩晕】，目标每损失<$HpNeed$>点血量，额外移除目标<$DemageAdd$>生命（致死）,"Deal <Demage> to the target and inflict [Stun]. For every <$HpNeed$> HP the target has lost, remove <$DemageAdd$> HP from the target (lethal)",ターゲットに<Demage>を与え、「スタン」を付与する。ターゲットが失っている体力<$HpNeed$>ごとに、追加で体力を<$DemageAdd$>除去する（致死）。
Card_Info/10083,Text,,"【汲取】目标<Demage>点最大生命值，并对敌方全体施加<#BuffCount#>【红尘魅惑】,每条尾巴使层数额外+<#AddCount#>
九尾增幅：立即结算目标的红尘魅惑效果","[Drain] <Demage> Max HP from the target and inflict <#BuffCount#> [Mortal Temptation] on all enemies. Each tail increases the stacks by <#AddCount#>
Nine-Tails Amplification: Immediately triggers the target's Mortal Allure effect. ","ターゲットの体力上限を<Demage>「吸収」し、敵全体に「紅塵魅惑」を<#BuffCount#>付与する。尻尾1本ごとにスタック数が追加で+<#AddCount#>。
九尾増幅：対象の「紅塵魅惑」の効果を即時発動する。"
Card_Info/10084,Text,,"对相邻的2/3名敌人造成三次<Demage>，此伤害有<$BloodSuck$>%吸血。
九尾增幅：伤害段数+2","Deal 3 instances of <Demage> to 2/3 adjacent enemies, with a <$BloodSuck$>% [Lifesteal].
Nine-Tails Amplification: Damage hit count +2","隣接する敵2/3名に<Demage>を3回与える。このダメージは<$BloodSuck$>%の吸血を持つ。
九尾増幅：ダメージの段数 +2"
Card_Info/10085,Text,,对全场敌方单位施加<#BuffCount#>【脱水】，并为全场我方单位恢复<Demage>,"Inflict <#BuffCount#> stacks of [Dehydration] on all enemies, and restore <Demage> to all allies",すべての敵ユニットに<#BuffCount#>の「脱水」を付与し、すべての味方ユニットを<Demage>回復する。
Card_Info/10087,Text,,攻击目标造成<Demage>（视为普攻），若场上存在【标记】敌人，则额外对所有【标记】造成同等伤害。,"Attack the target, dealing <Demage> (counted as a Basic Attack). Deal equal damage to all [Marked] enemies (if any).",ターゲットに<Demage>を与える（通常攻撃としてみなす）。フィールドに「マーク」された敵がいる場合、追加ですべての「マーク」された敵に同量のダメージを与える。
Card_Info/10089,Text,,催动法器，【眩晕】场上所有敌人,Activate the artifact to [Stun] all the enemies,法器を駆動し、フィールド上のすべての敵を「スタン」させる。
Card_Info/1009,Text,,"对敌人造成<Demage>，并为所有己方单位回满血。
该卡牌视为《僵尸之血》","Deal <Demage> to the enemy and fully heal all allied units. 
This card is considered as <Zombie Blood>","敵に<Demage>を与え、すべての味方ユニットの体力が全回復する。
このカードは『僵屍の血』とみなされる。"
Card_Info/10090,Text,,所有己方随从均移除所有负面buff，并获得等量层数的【灵压】（至少<Demage>）,Remove all debuffs from all allied minions and grant them an equal number of [Spiritual Pressure] (at least <Demage>),すべての味方ミニオンのデバフを解除し、解除したデバフの合計スタック数と同数の「霊圧」を付与する（最低<Demage>）。
Card_Info/10091,Text,,为指定单位添加<Demage>【阳气之种】/【阴气之种】，对已拥有【阳气之种】/【阴气之种】的单位使用时，将原本层数向左右等额扩散,"Adds <Demage> [Seeds of Yang] / [Seeds of Yin] to a unit. When used on a unit that already has [Seeds of Yang] / [Seeds of Yin], spread the original stacks equally to adjacent units",指定ユニットに「陽気の種」/「陰気の種」を<Demage>付与する。「陽気の種」/「陰気の種」を付与されているユニットに使用する場合、同数を隣接ユニットに拡散する。
Card_Info/10092,Text,,为指定单位回复<Demage>并添加1【岁月】（对敌方使用时，造成等额伤害）,"Heal <Demage> for a unit and add 1 stack of [Aging]. (When used on an enemy, deal an equal amount of damage instead)",指定ユニットを<Demage>回復し、「歳月」を1付与する（敵に使用する場合、同量のダメージを与える）。
Card_Info/10093,Text,,跳起来狠狠的顶敌人膝盖，造成<Demage>并将目标和自己【眩晕】（视为普攻）,"Leap up and ram the enemy's knee, dealing <Demage> and inflicting [Stun] on both the target and self (counted as a Basic Attack)",飛び上がって敵の膝に思いっきり頭突きして、<Demage>を与え、ターゲットと自身に「スタン」を付与する（通常攻撃としてみなす）。
Card_Info/10094,Text,,酝酿体内的青龙之力，对所有敌人造成<Demage>。并对全场单位（不论敌我）施加<#PBuffCount#>【疫毒】,"Channel the dragon power within, dealing <Demage> to all enemies, and inflict <#PBuffCount#> [Plague Toxin] on all units (both allies and enemies)",体内の青龍の力を駆使して、すべての敵に<Demage>を与え、フィールド上のすべてのユニット（敵味方問わず）に「疫毒」を<#PBuffCount#>付与する。
Card_Info/10095,Text,,连续对指定单位进行<#AtkCount#>次普通攻击,Perform <#AtkCount#> consecutive Basic Attacks on the designated unit,指定ユニットに<#AtkCount#>回連続の通常攻撃を行う。
Card_Info/10096,Text,,睁开狂气的龙瞳，对目标施加<Demage>【破甲】，同时自身获得等额的【狂性】,"Open the maniac dragon eyes to inflict <Demage> [Sunder Armor] on the target, and grant equal stacks of [Mania] to self",狂気の龍瞳を開き、ターゲットに<Demage>の「破れ」を付与する。自身は付与した「破れ」と同数の「狂暴」を得る。
Card_Info/10098,Text,,指定目标施加<#TimeCount#>【岁月】,Inflict <#TimeCount#> [Aging] on the designated target,指定ターゲットに「歳月」を<#TimeCount#>付与する。
Card_Info/10099,Text,,划破无尽寒冬的春雷，对随机敌人造成<Demage>。每回合第一次由自身使用该卡牌时，伤害乘<#UpDemage#>,"Spring thunder shatters winter, dealing <Demage> to a random enemy. The first time this card is used by self each turn, multiply the damage by <#UpDemage#>",終わりなき寒冬を切り裂く春雷が、ランダムな敵に<Demage>を与える。各ターンで初めて自身がこのカードを使用するとき、<#UpDemage#>倍のダメージを与える。
Card_Info/101,Text,,对指定目标造成<Demage>，并【虚弱】（奇数回合该卡牌伤害翻倍，偶数回合伤害减半）,"Deal <Demage> to the target and inflict [Asthenia] (This card's damage doubles on odd turns, and halves on even turns)",ターゲットに<Demage>を与え、「衰弱」を付与する（奇数ターンはこのカードのダメージが倍増し、偶数ターンは半減する）。
Card_Info/1010,Text,,无效果，丢弃时消耗一点灵力。,No effect. Consumes 1  [Mana] when discarded.,効果なし。破棄時に霊力を1消費する。
Card_Info/10100,Text,,惠风和畅，暖日助眠，所有己方单位回复<Demage>，每回合第一次使用时抽取一张《惊蛰》加入手牌,"Gentle breeze and soothing sun aid sleep. Restore <Demage> to all allied units. The first time this card is used each turn, draw 1 <Awakening of Insects> to hand",穏やかな風と暖かな日差しが眠りを誘う。すべての味方ユニットが<Demage>回復する。各ターンで初めて使用するときに『啓蟄』を1枚ドローして手札に加える。
